case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
3,AL,FALSE,"Barbour County, AL",Barbour County,1p4c,9672,11413.96584,12530.8248,16923.4572,7640.27712,13736.3484,7203.9456,79120.8168,42822.75391
15,AL,FALSE,"Cleburne County, AL",Cleburne County,1p2c,7608,6810.51564,12842.4624,11305.12356,5224.39668,11893.93428,6387.01176,62071.4412,58880.25781
17,AL,TRUE,"Florence-Muscle Shoals, AL MSA",Colbert County,1p3c,11686.875,8577.4548,12459.8508,14145.0612,7342.56588,16268.0724,9036.44532,79516.3248,62369.41406
18,AL,FALSE,"Conecuh County, AL",Conecuh County,1p3c,10884,8846.43456,13336.9356,14114.2908,7149.11424,13986.5436,8287.6956,76605.012,49227.06641
23,AL,FALSE,"Dale County, AL",Dale County,1p4c,10680,11633.46612,13078.386,16923.4572,8085.04908,14300.5416,8337.91404,83038.8168,58943.92188
28,AL,TRUE,"Gadsden, AL MSA",Etowah County,1p0c,6684,3143.66268,10559.24856,5497.47984,3560.94984,0,5573.61324,35018.9532,58943.92188
34,AL,TRUE,"Henry County, AL HUD Metro FMR Area",Henry County,2p0c,6384,6143.80368,13559.3436,11186.95968,4539.31752,0,7022.24196,48835.6668,62311.91016
41,AL,TRUE,"Auburn-Opelika, AL MSA",Lee County,1p1c,9888,5443.38684,11038.35864,9036.76752,5555.16612,5445.76212,6585.85908,52993.3008,74677.97656
65,AL,FALSE,"Washington County, AL",Washington County,2p1c,7776,7575.56172,14497.8504,14182.746,5562.4764,4919.139,7774.6794,62288.4552,54296.50781
99,AZ,TRUE,"Flagstaff, AZ MSA",Coconino County,2p1c,15780,7788.62472,14504.976,16218.3468,8539.842,9541.77252,10328.0706,82701.6324,77820.0625
100,AZ,FALSE,"Gila County, AZ",Gila County,2p2c,11508,9204.51636,14827.0104,16460.892,7504.9614,13162.2372,7685.91432,80353.5348,52807.60938
